Location,State
Adelaide,SA
Albany,WA
Albury,NSW
AliceSprings,NT
BadgerysCreek,NSW
Ballarat,VIC
Bendigo,VIC
Brisbane,QLD
Cairns,QLD
Canberra,ACT
Cobar,NSW
CoffsHarbour,NSW
Dartmoor,VIC
Darwin,NT
GoldCoast,QLD
Hobart,TAS
Katherine,NT
Launceston,TAS
Melbourne,VIC
MelbourneAirport,VIC
Mildura,VIC
Moree,NSW
MountGambier,SA
MountGinini,ACT
Newcastle,NSW
Nhil,VIC
NorahHead,NSW
NorfolkIsland,External
Nuriootpa,SA
PearceRAAF,WA
Penrith,NSW
Perth,WA
PerthAirport,WA
Portland,VIC
Richmond,NSW
Sale,VIC
SalmonGums,WA
Sydney,NSW
SydneyAirport,NSW
Townsville,QLD
Tuggeranong,ACT
Uluru,NT
WaggaWagga,NSW
Walpole,WA
Watsonia,VIC
Williamtown,NSW
Witchcliffe,WA
Wollongong,NSW
Woomera,SA
